X,Y,DEPTH (m),-1,Z
541724.174,710954.853,4.63,-1,-4.63
541724.137,710954.835,4.63,-1,-4.63
541724.1,710954.816,4.79,-1,-4.79
541724.064,710954.798,4.67,-1,-4.67
541724.027,710954.779,4.61,-1,-4.61
541723.99,710954.761,4.59,-1,-4.59
541723.953,710954.742,4.63,-1,-4.63
541723.916,710954.724,4.62,-1,-4.62
541723.879,710954.705,4.63,-1,-4.63
541723.843,710954.687,4.62,-1,-4.62
541723.806,710954.669,4.61,-1,-4.61
541723.769,710954.65,4.62,-1,-4.62
541723.732,710954.632,4.59,-1,-4.59
541723.695,710954.613,4.59,-1,-4.59
541723.658,710954.595,4.59,-1,-4.59
541723.622,710954.576,4.61,-1,-4.61
541723.585,710954.558,4.63,-1,-4.63
541723.548,710954.539,4.71,-1,-4.71
541723.511,710954.521,4.7,-1,-4.7
541723.474,710954.502,4.66,-1,-4.66
541723.437,710954.484,4.66,-1,-4.66
541723.4,710954.465,4.66,-1,-4.66
541723.364,710954.447,4.59,-1,-4.59
541723.327,710954.428,4.65,-1,-4.65
541723.29,710954.41,4.61,-1,-4.61
541723.247,710954.385,4.62,-1,-4.62
541723.204,710954.361,4.65,-1,-4.65
541723.161,710954.336,4.59,-1,-4.59
541723.118,710954.312,4.61,-1,-4.61
541723.075,710954.287,4.61,-1,-4.61
541723.032,710954.262,4.61,-1,-4.61
541722.989,710954.238,4.62,-1,-4.62
541722.946,710954.213,4.59,-1,-4.59
541722.903,710954.189,4.59,-1,-4.59
541722.86,710954.164,4.61,-1,-4.61
541722.817,710954.139,4.58,-1,-4.58
541722.774,710954.115,4.58,-1,-4.58
541722.731,710954.09,4.59,-1,-4.59
541722.688,710954.066,4.57,-1,-4.57
541722.645,710954.041,4.58,-1,-4.58
541722.602,710954.016,4.62,-1,-4.62
541722.559,710953.992,4.63,-1,-4.63
541722.516,710953.967,4.66,-1,-4.66
541722.473,710953.943,4.58,-1,-4.58
541722.43,710953.918,4.59,-1,-4.59
541722.387,710953.893,4.58,-1,-4.58
541722.344,710953.869,4.58,-1,-4.58
541722.301,710953.844,4.58,-1,-4.58
541722.258,710953.82,4.55,-1,-4.55
541722.215,710953.795,4.55,-1,-4.55
541722.172,710953.77,4.62,-1,-4.62
541722.129,710953.746,4.58,-1,-4.58
